player_name,player_name_key,cricsheet_person_id,source_name,source_player_id,batting_style_raw,bowling_style_raw,identified_roles_raw,playing_role_raw,batting_hand,bowling_style_canonical,bowling_style_family,role_canonical,is_keeper,is_bowling_option,is_spin_option,is_pace_option,needs_manual_review,notes
HC Brook,hc brook,4ae1755b,cricketdata::player_meta,911707,Right hand Bat,Right arm Medium,Batter,Batter,right,Right arm Medium,pace,batter,false,true,false,true,false,cricsheet_id
HDPK Dharmasena,hdpk dharmasena,323e4c16,cricketdata::player_meta,48469,Right hand Bat,Right arm Offbreak,Allrounder,Allrounder,right,Right arm Offbreak,spin,all_rounder,false,true,true,false,false,cricsheet_id
HE van der Dussen,he van der dussen,9948e262,cricketdata::player_meta,337790,Right hand Bat,Legbreak,Top order Batter,Top order Batter,right,Legbreak,spin,batter,false,true,true,false,false,cricsheet_id
HF Gurney,hf gurney,e412cb64,cricketdata::player_meta,244639,Right hand Bat,Left arm Fast medium,Bowler,Bowler,right,Left arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
HH Gibbs,hh gibbs,e1d1b294,cricketdata::player_meta,45224,Right hand Bat,Right arm Bowler,Opening Batter,Opening Batter,right,Right arm Bowler,unknown,batter,false,false,false,false,false,cricsheet_id
HH Pandya,hh pandya,dbe50b21,cricketdata::player_meta,625371,Right hand Bat,Right arm Medium fast,Allrounder,Allrounder,right,Right arm Medium fast,pace,all_rounder,false,true,false,true,false,cricsheet_id
Himmat Singh,himmat singh,ebcfef83,cricketdata::player_meta,805235,Right hand Bat,Right arm Offbreak,Batter,Batter,right,Right arm Offbreak,spin,batter,false,true,true,false,false,cricsheet_id
HM Amla,hm amla,e798611a,cricketdata::player_meta,43906,Right hand Bat,"Right arm Medium, Right arm Offbreak",Top order Batter,Top order Batter,right,"Right arm Medium, Right arm Offbreak",spin,batter,false,true,true,false,false,cricsheet_id
HR Shokeen,hr shokeen,0c9652b0,cricketdata::player_meta,1175423,Right hand Bat,Right arm Offbreak,Bowler,Bowler,right,Right arm Offbreak,spin,bowler,false,true,true,false,false,cricsheet_id
HS Sekhon,hs sekhon,58b66172,cricketdata::player_meta,33893,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
HV Patel,hv patel,f986ca1a,cricketdata::player_meta,390481,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
I Malhotra,i malhotra,943fd425,cricketdata::player_meta,31088,Right hand Bat,Right arm Medium fast,Bowler,Bowler,right,Right arm Medium fast,pace,bowler,false,true,false,true,false,cricsheet_id
I Sharma,i sharma,5bb1a1c4,cricketdata::player_meta,236779,Right hand Bat,Right arm Fast medium,Bowler,Bowler,right,Right arm Fast medium,pace,bowler,false,true,false,true,false,cricsheet_id
I Shivram,i shivram,85143097,cricketdata::player_meta,35290,,,,,unknown,unknown,unknown,unknown,false,false,false,false,false,cricsheet_id
I Udana,i udana,ac5ae4af,cricketdata::player_meta,328026,Right hand Bat,Left arm Medium fast,Allrounder,Allrounder,right,Left arm Medium fast,pace,all_rounder,false,true,false,true,false,cricsheet_id
IC Pandey,ic pandey,e0407c01,cricketdata::player_meta,447439,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
IC Porel,ic porel,fdf7491e,cricketdata::player_meta,967603,Right hand Bat,Right arm Medium,Bowler,Bowler,right,Right arm Medium,pace,bowler,false,true,false,true,false,cricsheet_id
IJ Gould,ij gould,a9dfdf6c,cricketdata::player_meta,13414,Left hand Bat,,Wicketkeeper,Wicketkeeper,left,unknown,unknown,keeper,true,false,false,false,false,cricsheet_id
IK Pathan,ik pathan,5fa06777,cricketdata::player_meta,32685,Left hand Bat,Left arm Medium fast,Allrounder,Allrounder,left,Left arm Medium fast,pace,all_rounder,false,true,false,true,false,cricsheet_id
IL Howell,il howell,c1cd91c3,cricketdata::player_meta,45454,Left hand Bat,Left arm Medium,,,left,Left arm Medium,pace,unknown,false,true,false,true,false,cricsheet_id
Imran Tahir,imran tahir,acee4cc4,cricketdata::player_meta,40618,Right hand Bat,Legbreak Googly,Bowler,Bowler,right,Legbreak Googly,spin,bowler,false,true,true,false,false,cricsheet_id
Iqbal Abdulla,iqbal abdulla,85aae393,cricketdata::player_meta,277237,Left hand Bat,Slow Left arm Orthodox,Allrounder,Allrounder,left,Slow Left arm Orthodox,spin,all_rounder,false,true,true,false,false,cricsheet_id
IR Jaggi,ir jaggi,dded65e7,cricketdata::player_meta,279554,Right hand Bat,Legbreak Googly,Batter,Batter,right,Legbreak Googly,spin,batter,false,true,true,false,false,cricsheet_id
IR Siddiqui,ir siddiqui,6436f803,cricketdata::player_meta,34026,Right hand Bat,Right arm Medium fast,,,right,Right arm Medium fast,pace,unknown,false,true,false,true,false,cricsheet_id
IS Sodhi,is sodhi,641ac5ff,cricketdata::player_meta,559066,Right hand Bat,Legbreak,Bowler,Bowler,right,Legbreak,spin,bowler,false,true,true,false,false,cricsheet_id
Ishan Kishan,ishan kishan,752f7486,cricketdata::player_meta,720471,Left hand Bat,,Wicketkeeper Batter,Wicketkeeper Batter,left,unknown,unknown,keeper_batter,true,false,false,false,false,cricsheet_id
J Arunkumar,j arunkumar,f663ef00,cricketdata::player_meta,26291,Right hand Bat,Right arm Offbreak,,,right,Right arm Offbreak,spin,unknown,false,true,true,false,false,cricsheet_id
J Botha,j botha,7c503806,cricketdata::player_meta,44149,Right hand Bat,Right arm Offbreak,Allrounder,Allrounder,right,Right arm Offbreak,spin,all_rounder,false,true,true,false,false,cricsheet_id
J Fraser-McGurk,j frasermcgurk,9b6e1b3f,cricketdata::player_meta,1168049,Right hand Bat,Legbreak Googly,Batter,Batter,right,Legbreak Googly,spin,batter,false,true,true,false,false,cricsheet_id
